ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Faturamento,Forma_de_venda,Região
15,2023-06-23,Curitiba,Cabo HDMI,40.0,1,Cliente_27383,40.0,Presencial,Sul
16,2024-04-04,Curitiba,"Monitor 27""",1200.0,1,Cliente_12891,1200.0,Presencial,Sul
18,2023-07-06,Curitiba,Cabo HDMI,40.0,1,Cliente_24451,40.0,Presencial,Sul
21,2024-12-27,Curitiba,Teclado Mecânico,250.0,1,Cliente_20626,250.0,Presencial,Sul
27,2023-12-15,Curitiba,Teclado Mecânico,250.0,3,Cliente_20985,750.0,Presencial,Sul
39,2023-10-12,Curitiba,Notebook Dell,3500.0,1,Cliente_22952,3500.0,Presencial,Sul
57,2024-04-09,Curitiba,Cabo HDMI,40.0,1,Cliente_4193,40.0,Presencial,Sul
63,2024-02-05,Curitiba,"Monitor 27""",1200.0,1,Cliente_13410,1200.0,Presencial,Sul
64,2023-07-19,Curitiba,Notebook Dell,3500.0,2,Cliente_4574,7000.0,Presencial,Sul
68,2023-04-29,Curitiba,Notebook Dell,3500.0,1,Cliente_8204,3500.0,Presencial,Sul
73,2024-10-09,Curitiba,Notebook Dell,3500.0,1,Cliente_3893,3500.0,Presencial,Sul
75,2024-01-06,Curitiba,"Monitor 27""",1200.0,1,Cliente_11301,1200.0,Presencial,Sul
83,2023-11-06,Curitiba,"Monitor 27""",1200.0,2,Cliente_21000,2400.0,Presencial,Sul
85,2024-11-02,Curitiba,Mouse Gamer,120.0,1,Cliente_10615,120.0,Presencial,Sul
99,2024-03-23,Curitiba,Teclado Mecânico,250.0,1,Cliente_21625,250.0,Presencial,Sul
125,2024-11-11,Curitiba,"Monitor 27""",1200.0,1,Cliente_13872,1200.0,Presencial,Sul
138,2024-04-08,Curitiba,Notebook Dell,3500.0,1,Cliente_23970,3500.0,Presencial,Sul
139,2024-04-15,Curitiba,Mouse Gamer,120.0,2,Cliente_13542,240.0,Presencial,Sul
153,2024-06-11,Curitiba,Notebook Dell,3500.0,1,Cliente_927,3500.0,Presencial,Sul
157,2023-03-11,Curitiba,Mouse Gamer,120.0,1,Cliente_5687,120.0,Presencial,Sul
163,2023-09-30,Curitiba,Cabo HDMI,40.0,1,Cliente_13319,40.0,Presencial,Sul
175,2024-05-03,Curitiba,Cabo HDMI,40.0,1,Cliente_760,40.0,Presencial,Sul
188,2024-03-11,Curitiba,Mouse Gamer,120.0,1,Cliente_6606,120.0,Presencial,Sul
189,2024-06-16,Curitiba,Mouse Gamer,120.0,2,Cliente_500,240.0,Presencial,Sul
196,2023-02-20,Curitiba,Notebook HP,3200.0,1,Cliente_16857,3200.0,Presencial,Sul
206,2024-05-18,Curitiba,"Monitor 27""",1200.0,2,Cliente_15961,2400.0,Presencial,Sul
207,2023-05-07,Curitiba,Cabo HDMI,40.0,1,Cliente_20156,40.0,Presencial,Sul
213,2024-12-28,Curitiba,"Monitor 27""",1200.0,1,Cliente_28715,1200.0,Presencial,Sul
214,2023-10-27,Curitiba,Mouse Gamer,120.0,1,Cliente_28528,120.0,Presencial,Sul
232,2024-11-28,Curitiba,iPhone 14,5500.0,1,Cliente_26832,5500.0,Presencial,Sul
243,2023-01-19,Curitiba,iPhone 14,5500.0,1,Cliente_20173,5500.0,Presencial,Sul
245,2024-03-12,Curitiba,Mouse Gamer,120.0,1,Cliente_14955,120.0,Presencial,Sul
